t,profit,strategy_name,strategy_params,annual,Cumulative5yearprofit,Cumulative5yearhibzeroprofit,Hlbzeroannual
730,87400.19865,RogueTrees,135;0;9;0.0545;0.2,7234.94765,41859.31406,,
730,88875.32865,RogueTrees,135;0;6;0.0545;0.2,8710.07765,44681.35197,,
730,90350.45865,RogueTrees,135;0;3;0.0545;0.2,10185.20765,43117.83995,,
730,87374.66861,RogueTrees,70;0;9;0.0545;0.2,7133.725557,41529.84793,,
730,88836.29861,RogueTrees,70;0;6;0.0545;0.2,8595.355557,44443.98801,,
730,90297.92861,RogueTrees,70;0;3;0.0545;0.2,10056.98556,43119.86588,,
730,87394.72603,RogueTrees,70;0;9;0.0545;0.4,7146.565632,41799.01375,,
730,88845.37603,RogueTrees,70;0;6;0.0545;0.4,8597.215632,44853.48154,,
730,90296.02603,RogueTrees,70;0;3;0.0545;0.4,10047.86563,43823.08618,,
730,87516.29048,RogueTrees,135;0;9;0.0545;0.1,7271.233425,42799.95082,,
730,88981.19048,RogueTrees,135;0;6;0.0545;0.1,8736.133425,46011.35767,,
730,90446.09048,RogueTrees,135;0;3;0.0545;0.1,10201.03342,44477.70272,,
730,87828.82924,RogueTrees,105;0;9;0.0545;0.3,7566.820274,42946.83777,,
730,89286.73924,RogueTrees,105;0;6;0.0545;0.3,9024.730274,45517.87597,,
730,90744.64924,RogueTrees,105;0;3;0.0545;0.3,10482.64027,44115.69509,,
730,87374.72271,RogueTrees,45;0;9;0.0545;0.3,7202.478475,42700.9142,,
730,88842.41271,RogueTrees,45;0;6;0.0545;0.3,8670.168475,46011.60511,,
730,90310.10271,RogueTrees,45;0;3;0.0545;0.3,10137.85848,44481.28747,,
730,87899.0706,RogueTrees,105;0;9;0.0545;0.4,7622.549386,42959.42983,,
730,89344.3806,RogueTrees,105;0;6;0.0545;0.4,9067.859386,45429.03129,,
730,90789.6906,RogueTrees,105;0;3;0.0545;0.4,10513.16939,43418.81884,,
730,87304.09704,RogueTrees,135;0;9;0.0545;0.3,7139.850838,41426.36639,,
730,88780.24704,RogueTrees,135;0;6;0.0545;0.3,8616.000838,44270.3025,,
730,90256.39704,RogueTrees,135;0;3;0.0545;0.3,10092.15084,43225.71378,,
730,87288.37398,RogueTrees,70;0;9;0.0545;0.3,7057.64694,42159.55506,,
730,88751.44398,RogueTrees,70;0;6;0.0545;0.3,8520.71694,45582.48024,,
730,90214.51398,RogueTrees,70;0;3;0.0545;0.3,9983.78694,44212.36312,,
730,87892.87151,RogueTrees,105;0;9;0.0545;0.1,7571.412121,42838.946,,
730,89347.45151,RogueTrees,105;0;6;0.0545;0.1,9025.992121,45337.6737,,
730,90802.03151,RogueTrees,105;0;3;0.0545;0.1,10480.57212,43395.50292,,
730,87309.85039,RogueTrees,45;0;9;0.0545;0.4,7150.59982,41475.53213,,
730,88769.62039,RogueTrees,45;0;6;0.0545;0.4,8610.36982,44362.31364,,
730,90229.39039,RogueTrees,45;0;3;0.0545;0.4,10070.13982,42851.88669,,
730,87252.40679,RogueTrees,45;0;9;0.0545;0.1,7083.821333,41350.24973,,
730,88729.18679,RogueTrees,45;0;6;0.0545;0.1,8560.601333,44303.49127,,
730,90205.96679,RogueTrees,45;0;3;0.0545;0.1,10037.38133,43213.055,,
730,87243.79997,RogueTrees,45;0;9;0.0545;0.2,7099.942866,42101.04874,,
730,88712.35997,RogueTrees,45;0;6;0.0545;0.2,8568.502866,45381.69095,,
730,90180.91997,RogueTrees,45;0;3;0.0545;0.2,10037.06287,43779.32886,,
730,87704.26027,RogueTrees,105;0;9;0.0545;0.2,7470.165072,42170.63677,,
730,89159.47027,RogueTrees,105;0;6;0.0545;0.2,8925.375072,44591.07247,,
730,90614.68027,RogueTrees,105;0;3;0.0545;0.2,10380.58507,-61094.93711,,
730,87179.4127,RogueTrees,70;0;9;0.0545;0.1,6966.140777,-157647.0567,,
730,88641.6427,RogueTrees,70;0;6;0.0545;0.1,8428.370777,-240195.632,,
730,90103.8727,RogueTrees,70;0;3;0.0545;0.1,9890.600777,-349775.9867,,
730,92177.49278,NoAction,0;0;0;0;0;0;0,11947.07167,-342168.9628,,
730,6717.358091,SprayTreesOTC,0.7;0.246;0.21;0.245,6717.358091,202287.5775,,
730,7901.311957,SprayTreesOTC,0.8;0.246;0.21;0.245,7901.311957,155008.3817,,
1095,240133.7427,RogueTrees-SprayTrees,135;0;9;0.0545;0.4;0.9;0.246,73355.73778,266926.1272,,
1095,241353.0327,RogueTrees-SprayTrees,135;0;6;0.0545;0.4;0.9;0.246,73802.25778,219999.5913,,
1095,242572.3227,RogueTrees-SprayTrees,135;0;3;0.0545;0.4;0.9;0.246,74248.77778,116979.6946,,
1095,247820.5456,SprayTrees,0.9;0.246,78539.59902,195769.2018,,
1095,171161.1762,RogueTrees-SprayTrees,135;0;9;0.0545;0.4;0.8;0.246,21536.50191,19245.49784,,
1095,174444.9462,RogueTrees-SprayTrees,135;0;6;0.0545;0.4;0.8;0.246,23982.85191,-20044.20302,,
